,propertyType,prices,zipcodes,home_type,tax_year,tax_value,year_built,property_size,home_size,bathrooms,bedrooms,zestimate_amount
388,House,200.0,78702,SingleFamily,2015.0,309695.0,1972.0,12092.0,884.0,1.0,,350976.0
389,House,262.0,78703,SingleFamily,2015.0,754598.0,1939.0,7610.0,2760.0,3.0,,990090.0
390,House,250.0,78702,SingleFamily,2015.0,286689.0,1997.0,5770.0,1528.0,2.5,4.0,401093.0
391,Townhouse,179.0,78704,Townhouse,,,2014.0,,1290.0,2.5,2.0,385871.0
392,House,90.0,78704,SingleFamily,2015.0,335618.0,1925.0,10450.0,1346.0,1.0,,409670.0
394,House,95.0,78751,Apartment,2015.0,2577940.0,1971.0,27282.0,425.0,1.0,0.0,
395,House,1200.0,78751,Apartment,2015.0,1796760.0,1972.0,19502.0,11592.0,1.5,2.0,
396,House,250.0,78751,SingleFamily,2015.0,223455.0,1946.0,6643.0,576.0,1.0,,317050.0
398,House,105.0,78751,SingleFamily,2015.0,487836.0,1929.0,9387.0,1104.0,1.0,,484225.0
401,House,500.0,78751,SingleFamily,2015.0,383161.0,1926.0,6294.0,1170.0,1.0,,540943.0
402,House,230.0,78704,SingleFamily,2015.0,124800.0,,16649.0,,,,
403,House,600.0,78751,SingleFamily,2015.0,455373.0,2014.0,5183.0,2379.0,3.0,6.0,537058.0
404,House,175.0,78704,Apartment,2015.0,12659287.0,1970.0,635026.0,193494.0,,,1170491.0
405,House,350.0,78704,SingleFamily,2015.0,290261.0,1964.0,5484.0,1634.0,2.0,,420074.0
406,House,200.0,78704,SingleFamily,2015.0,644045.0,1910.0,17590.0,3140.0,,,986315.0
407,House,575.0,78704,SingleFamily,2015.0,416211.0,1945.0,6151.0,952.0,1.0,,467168.0
408,House,375.0,78741,MultiFamily2To4,2015.0,39950000.0,2013.0,261273.0,200494.0,,,1140033.0
409,House,180.0,78704,Condominium,,,,,,1.0,1.0,450461.0
410,House,95.0,78704,SingleFamily,2015.0,431701.0,1959.0,6456.0,648.0,1.0,,464736.0
411,House,75.0,78704,SingleFamily,2015.0,424808.0,1952.0,11761.0,848.0,1.0,,475166.0
413,House,175.0,78741,SingleFamily,2015.0,321171.0,1963.0,7700.0,1356.0,1.7,3.0,390541.0
415,House,125.0,78741,SingleFamily,2015.0,285884.0,1960.0,10019.0,1814.0,2.0,,368338.0
418,House,149.0,78744,SingleFamily,2015.0,153867.0,2005.0,4217.0,1366.0,3.0,,189994.0
419,House,750.0,78734,VacantResidentialLand,2015.0,373745.0,1982.0,124581.0,1728.0,,0.0,
420,House,325.0,78759,SingleFamily,2015.0,495575.0,1993.0,15769.0,2946.0,3.0,,555940.0
421,House,100.0,78744,SingleFamily,2015.0,30000.0,,4400.0,,,,
422,House,90.0,78728,SingleFamily,2015.0,186303.0,1997.0,5676.0,1426.0,2.0,,224206.0
423,House,109.0,78721,SingleFamily,2015.0,117708.0,1965.0,7701.0,720.0,1.0,,220952.0
424,House,69.0,78702,SingleFamily,2015.0,325558.0,2007.0,5702.0,1160.0,2.0,,350167.0
426,House,45.0,78652,SingleFamily,2015.0,97582.0,1993.0,24581.0,1132.0,2.0,,205268.0
427,House,115.0,78759,SingleFamily,2015.0,219590.0,1979.0,27730.0,1475.0,2.0,,283232.0
428,House,195.0,78757,SingleFamily,2015.0,392407.0,1955.0,11256.0,1164.0,2.0,,390490.0
429,House,2170.0,78746,SingleFamily,2015.0,1060675.0,1994.0,44431.0,4483.0,5.0,,1429050.0
432,House,45.0,78745,SingleFamily,2015.0,242833.0,1982.0,6290.0,1950.0,2.0,3.0,286731.0
435,House,35.0,78727,SingleFamily,2015.0,172460.0,1984.0,6150.0,1232.0,2.0,3.0,212127.0
436,House,385.0,78759,SingleFamily,2015.0,511540.0,1994.0,5619.0,2813.0,2.5,4.0,555543.0
437,House,65.0,78736,SingleFamily,2015.0,436210.0,2013.0,31686.0,3450.0,4.0,4.0,584397.0
438,House,100.0,78756,SingleFamily,2015.0,491962.0,1920.0,6948.0,2158.0,1.0,,658119.0
439,House,49.0,78758,SingleFamily,2015.0,140378.0,1964.0,8952.0,1114.0,2.0,,197775.0
442,House,100.0,78705,Condominium,2015.0,129637.0,1984.0,914.0,405.0,1.0,1.0,155786.0
444,House,200.0,78704,SingleFamily,2015.0,517249.0,2009.0,5502.0,1950.0,3.0,3.0,677003.0
446,House,287.0,78704,MultiFamily2To4,2015.0,612299.0,1978.0,14767.0,1700.0,2.0,2.0,635254.0
447,House,185.0,78704,Condominium,,,,,1150.0,2.0,2.0,414537.0
449,House,1896.0,78704,SingleFamily,2015.0,505214.0,1940.0,8041.0,2005.0,2.0,,638237.0
450,House,500.0,78704,SingleFamily,2015.0,486073.0,2000.0,10097.0,2800.0,2.0,4.0,743281.0
452,House,325.0,78704,Condominium,,,2007.0,8537.0,2152.0,2.5,3.0,563230.0
455,House,200.0,78703,SingleFamily,2015.0,647710.0,1938.0,4094.0,1740.0,2.5,2.0,731173.0
456,House,160.0,78703,SingleFamily,2015.0,1338199.0,1915.0,14784.0,2754.0,3.0,,1322605.0
457,House,100.0,78748,SingleFamily,2015.0,201568.0,2005.0,3615.0,1992.0,2.5,4.0,250649.0
458,House,10000.0,78748,SingleFamily,2015.0,175352.0,1986.0,9496.0,1230.0,2.0,3.0,226567.0
459,House,450.0,78746,SingleFamily,2015.0,544050.0,1979.0,9775.0,2165.0,2.0,3.0,659086.0
460,House,5000.0,78746,SingleFamily,2015.0,405000.0,,72310.0,,,,
461,House,895.0,78746,SingleFamily,2015.0,693557.0,1972.0,12066.0,1824.0,3.0,3.0,778277.0
463,House,105.0,78756,SingleFamily,2015.0,355000.0,1950.0,10153.0,1675.0,2.5,3.0,435067.0
464,House,60.0,78744,SingleFamily,2015.0,165812.0,2007.0,5898.0,1856.0,3.0,3.0,201745.0
465,House,55.0,78729,SingleFamily,2015.0,213876.0,1977.0,15608.0,2061.0,2.0,,279447.0
466,House,425.0,78750,SingleFamily,2015.0,397134.0,1972.0,27020.0,2873.0,2.5,,491180.0
467,House,225.0,78757,SingleFamily,2015.0,379758.0,1965.0,8319.0,1964.0,12.0,4.0,
468,House,2000.0,78758,SingleFamily,2015.0,263258.0,1985.0,12314.0,2467.0,3.0,,284953.0
469,House,1200.0,78734,SingleFamily,2015.0,659112.0,2006.0,98054.0,4200.0,4.0,4.0,851654.0
470,House,99.0,78734,SingleFamily,2015.0,153729.0,1975.0,27094.0,1184.0,1.0,3.0,234426.0
471,House,1500.0,78731,SingleFamily,2015.0,590813.0,1974.0,13552.0,2315.0,3.0,,617632.0
472,House,100.0,78758,Condominium,2015.0,77297.0,1984.0,435.0,535.0,2.0,2.0,
473,House,51.0,78727,SingleFamily,2015.0,189587.0,1990.0,5854.0,1100.0,2.0,3.0,255673.0
474,House,30.0,78757,SingleFamily,2015.0,311420.0,1951.0,7370.0,1213.0,1.0,,381387.0
476,House,449.0,78733,SingleFamily,2015.0,811993.0,2002.0,84419.0,4862.0,4.5,5.0,1194300.0
477,House,45.0,78748,SingleFamily,,,,,1299.0,2.0,3.0,225911.0
479,House,90.0,78745,SingleFamily,2015.0,189151.0,1974.0,7880.0,1242.0,2.0,,239246.0
