,prices,dateAdded,lat,long,propertyType,numBathroom,numBedroom,numBed,numPeople,house_num,street_name,zipcodes
1804,1100.0,2015-10-25,30.3123463828,-97.7295782231,House,2.0,2.0,3.0,6.0,4609,Avenue B,78751
1805,200.0,2015-10-25,30.311300941,-97.7302144021,House,1.0,1.0,1.0,2.0,4521,Avenue B,78751
1806,875.0,2016-08-15,30.3007550914,-97.7282362773,House,1.0,1.0,1.0,2.0,3905,Duval Street,78751
1807,900.0,2015-10-25,30.3069705042,-97.7196063727,House,3.0,3.0,4.0,8.0,802,East 46th Street,78751
1808,200.0,2015-10-25,30.2433742566,-97.7773183466,House,2.0,2.0,3.0,6.0,2676,Del Curto Road,78704
1809,75.0,2015-10-28,30.3021500193,-97.7258342784,House,1.0,1.0,1.0,2.0,605,East 42nd Street,78751
1810,1400.0,2016-03-27,30.2363675959,-97.7769141977,House,2.0,2.0,3.0,4.0,3313,South Oak Drive,78704
1811,100.0,2015-10-25,30.3100240339,-97.7231658305,House,1.0,1.0,1.0,3.0,4700,Duval Street,78751
1812,220.0,2015-10-25,30.2436604471,-97.775416286,House,1.0,1.0,1.0,3.0,2513,Southland Drive,78704
1813,155.0,2015-11-01,30.3109244813,-97.7160676835,House,1.0,1.0,1.0,2.0,5000,Clarkson Avenue,78751
1814,145.0,2016-08-15,30.2992533751,-97.7307736053,Apartment,2.0,0.0,4.0,4.0,3800,Avenue H,78751
1816,229.0,2015-10-25,30.2581988361,-97.7544081769,House,2.0,3.0,1.0,8.0,604,Bouldin Avenue,78704
1817,700.0,2015-10-28,30.318297136,-97.7324868724,Apartment,1.0,1.0,1.0,2.0,813,Capitol Court,78756
1818,134.0,2016-08-27,30.3061750441,-97.7524944647,House,1.0,2.0,1.0,6.0,3301,Jefferson Street,78703
1819,84.0,2016-04-26,30.3310680132,-97.7255191826,House,1.0,2.0,3.0,4.0,908,Romeria Drive,78757
1820,140.0,2016-08-23,30.2636897157,-97.7463866256,Apartment,1.0,1.0,1.0,2.0,239,West Cesar Chavez Street,78701
1821,79.0,2016-08-23,30.2713342284,-97.7283349978,Apartment,1.0,1.0,1.0,2.0,1182,Waller Street,78702
1822,99.0,2015-10-25,30.2559594015,-97.7686625316,House,1.0,1.0,3.0,6.0,1308,Garner Avenue,78704
1823,150.0,2015-10-25,30.2600783767,-97.7607824675,House,1.0,1.0,1.0,2.0,600,Jessie Street,78704
1824,240.0,2015-10-25,30.2941765129,-97.7348014185,Apartment,2.0,2.0,2.0,1.0,3106,Walling Drive,78705
1825,200.0,2015-11-01,30.2965633313,-97.7336996511,House,1.0,1.0,2.0,4.0,300,East 33rd Street,78705
1826,88.0,2016-08-21,30.2857675479,-97.7472523972,Apartment,1.0,1.0,2.0,4.0,906,West 22nd Street,78705
1827,65.0,2016-08-24,30.172558257,-97.8022981036,Apartment,1.0,1.0,1.0,2.0,615,West Slaughter Lane,78748
1828,50.0,2016-08-11,30.1785591209,-97.8080779966,House,1.0,1.0,1.0,2.0,1011,Minturn Lane,78748
1829,40.0,2016-04-04,30.1733607012,-97.8105984926,House,1.0,1.0,1.0,2.0,1029,West Slaughter Lane,78748
1830,135.0,2016-08-11,30.1795514768,-97.8140880787,House,2.0,3.0,2.0,6.0,9008,Jesse James Drive,78748
1831,110.0,2015-11-05,30.1796292522,-97.8039264914,House,,1.0,1.0,2.0,811,Lambeth Lane,78748
1832,180.0,2015-11-05,30.1810638344,-97.8050510888,House,2.0,2.0,2.0,4.0,1007,Wessex Way,78748
